Date,Open,High,Low,Close,Volume
3-Jul-17,144.88,145.3,143.1,143.5,14277848
5-Jul-17,143.69,144.79,142.72,144.09,21569557
6-Jul-17,143.02,143.5,142.41,142.73,24128782
7-Jul-17,142.9,144.75,142.9,144.18,19201712
10-Jul-17,144.11,145.95,143.37,145.06,21090636
11-Jul-17,144.73,145.85,144.38,145.53,19781836
12-Jul-17,145.87,146.18,144.82,145.74,24884478
13-Jul-17,145.5,148.49,145.44,147.77,25199373
14-Jul-17,147.97,149.33,147.33,149.04,20132061
17-Jul-17,148.82,150.9,148.57,149.56,23793456
18-Jul-17,149.2,150.13,148.67,150.08,17868792
19-Jul-17,150.48,151.42,149.95,151.02,20922969
20-Jul-17,151.5,151.74,150.19,150.34,17243748
21-Jul-17,149.99,150.44,148.88,150.27,26252630
